Local,Trabalho,Título,Autores/Participantes
Centro de Ciencias Juridicas e Economicas,2151,"A ASCENSÃO DA EXTREMA-DIREITA ESPANHOLA, O FORO DE MADRI E SUAS ARTICULAÇÕES COM O ULTRACONSERVADORISMO LATIOAMERICANO","BIANCA DO VALE MENDES,CAROLINA LEAL DE MAGALHÃES,ELÍDIO ALEXANDRE BORGES MARQUES,LUCAS ALVES DE OLIVEIRA,PEDRO MONTEIRO ROSARIO NICOLAU,PEDRO THURLER DE QUEIROZ ALFENA,YURI RICARDO TEIXEIRA"
Centro de Ciencias Juridicas e Economicas,3024,TURQUIA NA CRISE DA DEMOCRACIA LIBERAL: ENTRE TENSÕES EUROPEIAS E PARTICULARIDADES HISTÓRICAS,"ELÍDIO ALEXANDRE BORGES MARQUES,LOHANNA RODRIGUES REIS,RENATA MARIA DE ALENCAR GOMES GONZALEZ,SOFIA NASCIMENTO VIEIRA,TALES PERINETTI ALVES MARTINS"
Centro de Ciencias Juridicas e Economicas,5005,TRANSIÇÕES POLÍTICAS RUSSAS NO SÉCULO XXI ANALISADAS INTERNA E EXTERNAMENTE: CAPACIDADE DE PRODUZIR FORÇA E INFLUÊNCIAS ATRAVÉS DO SOFT POWER,"DANIEL HENRIQUE LOURENÇO PEREIRA,FERNANDO LUZ BRANCOLI,MARINA ROCHA DA COSTA ALVES,TALES PERINETTI ALVES MARTINS"
Centro de Ciencias Juridicas e Economicas,549,C ORAL DO CCJE CANTA SAMBA DA MINHA TERRA,"ANDRE LUIZ PINTO,PéRICLES DE MORAIS CUNHA,WALDELICE MARIA SILVA DE SOUZA"
Centro de Ciencias Juridicas e Economicas,567,DIETAS ALIMENTARES DO IMPÉRIO MONGOL E POVOS TURCOMENOS: O QUÃO COMUM ESTÃO NO NOSSO DIA A DIA ?,"RENATO NUNES BITTENCOURT,SERGIO RICARDO DE FREITAS JUNIOR"
Centro de Ciencias Juridicas e Economicas,1923,POPULARIDADE CIENTÍFICA DE DOCENTES/PESQUISADORES DA UFRJ: ANÁLISE CIENTOMÉTRICA NA ÁREA DE MEDICINA,"BIANCA DE LÁIA VICENTINI,LARISSA SILVA COSTA,MARIA JOSE VELOSO DA COSTA SANTOS,VÂNIA LISBOA DA SILVEIRA GUEDES"
Centro de Ciencias Juridicas e Economicas,2744,DA COVID-19 ÀS COMORBIDADES: UM ESTUDO BIBLIOMÉTRICO E CIENTOMÉTRICO DA PRODUTIVIDADE CIENTÍFICA,"BIANCA DE LÁIA VICENTINI,REJANE RAMOS MACHADO,VÂNIA LISBOA DA SILVEIRA GUEDES"
Centro de Ciencias Juridicas e Economicas,3074,MINARI E O FENÔMENO DA ACULTURAÇÃO,"ALICE MARTINS COELHO FERNANDES,ROBSON COSTA"
Centro de Ciencias Juridicas e Economicas,5289,GESTÃO DE RISCO EM UNIDADES DE INFORMAÇÃO: O CASO DO ARQUIVO NACIONAL,"ANNA PAULA LAMEIRAS MEDEIROS,ANTONIO VICTOR BOTÃO,VIVIANE MARINHO GUIMARÃES"
Centro de Ciencias Juridicas e Economicas,5378,"DIVERSIDADE, DISCRIMINAÇÃO E PRECONCEITO EM AMBIENTES ORGANIZACIONAIS E UNIDADES DE INFORMAÇÃO","ANNA PAULA LAMEIRAS MEDEIROS,ANTONIO VICTOR BOTÃO,LARISSA LOURENÇO LIMA,MARIANA DE GÓES PATRÍCIO,VIVIANE MARINHO GUIMARÃES"
Centro de Ciencias Juridicas e Economicas,5636,A IMPORTÂNCIA DA ANÁLISE INTERSECCIONAL PARA A FORMULAÇÃO DE POLÍTICAS PÚBLICAS EM TEMPOS DE CRISE SANITÁRIA,"FLAVIA DE SOUZA POMPERMAYER,ISABELA VASLIN MIRANDA,MARIANA TROTTA DALLALANA QUINTANS,REBECA LUIZ DOS SANTOS"
Centro de Ciencias Juridicas e Economicas,5685,A CONTRIBUIÇÃO DAS PROMOTORAS LEGAIS POPULARES EM TEMPOS PANDÊMICOS,"CRISTIANE BRANDÃO,ISABELA VASLIN MIRANDA,MARIANA DE FREITAS BARBOSA,MARIANA TROTTA DALLALANA QUINTANS,RAYSSA CABRAL COSTA,WALQUIRIA CAMILO DA ROCHA Atividades Extras (minicursos, visitas guiadas e oficinas não avaliadas). CCJE IPPUR Sessão 7T | PEX.EXT.UNI.."
Centro de Ciencias Juridicas e Economicas,5817,AS INDEPENDÊNCIAS DA AMÉRICA IBÉRICA E O SENTIDO DOS 200 ANOS DE INDEPENDÊNCIA DO BRASIL,"DIVINA EMANUELA DA SILVA ALVES,RENATA BASTOS DA SILVA,YEDA MARIA RODRIGUES DE ASSUNÇÃO Atividades Extras (minicursos, visitas guiadas e oficinas não avaliadas). CCJE FND Sessão 28M - Atividade Extra | PEX.EXT.UNI.."
Centro de Ciencias Juridicas e Economicas,5156,INSTITUIÇÕES E CRISES: REFLEXÕES CRÍTICAS SOBRE O CAPITALISMO CONTEMPORÂNEO.,"CAROLINA MIRANDA CAVALCANTE,FLÁVIO ALVES COMBAT Exposição Artística. CCJE FND Sessão 23M - Exposição Artística | PEX.EXT.UNI.EXP."
Centro de Ciencias Juridicas e Economicas,4890,ASSENTAMENTO IRMÃ DOROTHY: A ARTE COMO INSTRUMENTO PARA DIZER O DIREITO,"ANA CLAUDIA DIOGO TAVARES,ESTELA PEREIRA ALVES DO VALE,MARIANA CAMPELLO DO RÊGO VALENÇA,MARIANA TROTTA DALLALANA QUINTANS"
Centro de Ciencias Juridicas e Economicas,3360,EDUCAÇÃO NÃO FORMAL E APRENDIZAGEM: ENISNO DE DIREITO EMPRESARIAL JOGANDO BANCO IMOBILIÁRIO,"TIAGO BORGES SANTIAGO,VERÔNICA LAGASSI"
Centro de Ciencias Juridicas e Economicas,2261,CARTOGRAFIAS JURÍDICAS: MAPEANDO CONFLITOS FUNDIÁRIOS URBANOS NA CIDADE DO RIO DE JANEIRO,"CAROLINA ROSÁRIO GISMONTI,CHIARA FERRAZ GALHANONE,JULIA ÁVILA FRANZONI,LUCIANA ALENCAR XIMENES,MARIA EDUARDA SANT ANNA LESSA,NATHALIA CUNHA PECANHA,RAQUEL FERREIRA PIRES,VICTOR ABI RIHAN AVILA"
Centro de Ciencias Juridicas e Economicas,2824,"IRMANDADES NEGRAS: EXPERIÊNCIAS, SOCIABILIDADES E RESISTÊNCIAS AO BRANQUEAMENTO NO ESPAÇO URBANO DO RIO DE JANEIRO","ANA LUIZA FERNANDES DA SILVA,RENATO EMERSON NASCIMENTO DOS SANTOS"
